source_row_id_or_node_id,original_name,normalized_name,current_bucket,recommended_bucket,status,why_current_is_wrong,why_fix_is_right,rationale,slide_basis,context_note,recommended_action
fashion-luxury,Fashion / Luxury,fashion / luxury,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
home-garden,Home & Garden,home & garden,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
marketing,Marketing,marketing,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
tise,Tise,tise,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay-motors,eBay Motors,motors,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
vehicle-history-report,Vehicle History Report,vehicle history report,platform_trust,item_trust,incorrect,Classified as platform_trust. The AutoCheck vehicle history report is specific to an individual vehicle (VIN-tied)  it provides accuracy/condition information about that specific item. A platform-wide assurance applies uniformly; this report is item-specific.,"Slide 9 Accuracy: ""Does the item match my expectations?"" Vehicle history is item-level accuracy information (accidents, title issues, odometer fraud). The object of the promise is the specific vehicle, not the marketplace broadly. Item trust accuracy mechanism.","Item-level accuracy signal (vehicle history for a specific VIN). Slide 4, 9.","4, 9","Ambiguous: eBay provides the report as a platform service, but the content is item-specific. The object of the trust promise is the vehicle item  classify as item_trust accuracy.",move
login-alerts,Login Alerts,login alerts,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Marketplace-wide integrity or assurance mechanism. Platform trust per slide 4.,4,,keep
acquisitions,Acquisitions,acquisitions,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
regional,Regional Platforms,regional platforms,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
auction,Auction,auction,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
sign-in-with-ebay,Sign in with eBay,sign in with ebay,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
buyer,Buyer,buyer,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
developer-tools,Developer Tools,developer tools,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
buyer-programs,Buyer Programs,buyer programs,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
corporate,Corporate Actions,corporate actions,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
depop,Depop,depop,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
depop-outfits,Depop Outfits,depop outfits,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay,eBay,ebay,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
fashion,Fashion,fashion,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
listing-features,Listing Features,listing features,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
loyalty,Loyalty & Rewards,loyalty & rewards,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
mobile,Mobile Apps,mobile apps,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
support,Support,support,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
two-step-verification,Two-Step Verification,two-step verification,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Account/marketplace security mechanism  protects the platform and its users from fraud or unauthorized access. Platform trust per slide 4.,4,,keep
escrow-com,Escrow.com,escrow.com,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Marketplace-wide integrity or assurance mechanism. Platform trust per slide 4.,4,,keep
certified-collectibles-group,Certified Collectibles Group,certified collectibles group,platform_trust,item_trust,incorrect,"Classified as platform_trust. CCG (PCGS, NGC, CGC) provides item-level grading and authentication for coins, comics, and collectibles. Their certifications attach to specific items, not to the platform or seller account.",Slide 13 Tier A: physically authenticated by a trusted 3rd party partner. CCG members are exactly this  grading and authentication applied to individual items. Their certification is the item trust signal buyers see.,"Item-level 3rd party grading/authentication partner. Slide 4, 13.","4, 13","PCGS, NGC, CGC are sub-brands of CCG. Each grades individual items. Same logic as PSA for trading cards.",move
depop-protection,Depop Protection,depop protection,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Marketplace-wide buyer protection/assurance mechanism backed by eBay  covers the transaction regardless of which seller or item. Platform trust per slide 4.,4,,keep
sneaker-con,Sneaker Con,sneaker con,platform_trust,item_trust,incorrect,"Classified as platform_trust. Sneaker Con authenticates individual sneakers as part of eBay AG  the authentication outcome attaches to the specific pair of sneakers, not to the platform or the seller.",Slide 13 Tier A: physically authenticated by eBay authenticator or trusted 3rd party. Sneaker Con is a 3rd party authentication partner whose verdict applies to each specific item. Slide 15 shows sneaker authentication as Tier A.,"Item-level 3rd party authentication partner for sneakers. Slide 4, 13, 15.","4, 13, 15",Authentication partner in the AG ecosystem. Result attaches to the individual sneaker listing.,move
critical-path-software,Critical Path Software,critical path software,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay-4-0-mobile-app,eBay 4.0,4,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay-fashion-app,eBay Fashion App,fashion app,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay-innovate-developer-conference,eBay Innovate Developer Conference,innovate developer conference,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay-mastercard,eBay Mastercard,mastercard,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
electronic-travel-auction,Electronic Travel Auction,electronic travel auction,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
managed-payments-multi-currency,Managed Payments (Multi-Currency),managed payments (multi-currency),not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
sales-tax-collection,Sales Tax Collection,sales tax collection,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
services-paiement-ebay,Services de paiement proposes par eBay,services de paiement proposes par ebay,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
zahlungsabwicklung-ebay,Zahlungsabwicklung bei eBay,zahlungsabwicklung bei ebay,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
sezzle-pay-in-4,Sezzle Pay in 4,sezzle pay in 4,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay-balance,eBay Balance,balance,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
payouts-on-demand,Payouts on Demand,payouts on demand,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
express-payouts-multi-currency,Express Payouts (Multi-Currency),express payouts (multi-currency),not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
finances-copilot,Finances Copilot,finances copilot,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
pay-in-4,Pay in 4,pay in 4,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
pay-upon-invoice,Pay Upon Invoice,pay upon invoice,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
express-payouts,Express Payouts,express payouts,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
ebay-seller-capital,eBay Seller Capital,seller capital,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
1-day-handling,1-Day Handling,1-day handling,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
1099-k-tax-form,1099-K Tax Form,1099-k tax form,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
add-payment-method,Add Payment Method,add payment method,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
biometric-verification,Biometric Verification,biometric verification,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
buyer-requirements,Buyer Requirements,buyer requirements,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
checkout,Checkout,checkout,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
credit-card,Credit Card,credit card,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
daily-payout,Daily Payout,daily payout,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
debit-card,Debit Card,debit card,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
edit-payment,Edit Payment,edit payment,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
form-1099-k,Form 1099-K,form 1099-k,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
form-1099-k-us,Form 1099-K (US),form 1099-k (us),not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
mark-as-shipped,Mark as Shipped,mark as shipped,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
order-updates,Order Updates,order updates,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
pay-now,Pay Now,pay now,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
payment-dispute,Payment Dispute,payment dispute,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
payment-failed,Payment Failed,payment failed,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
payment-pending,Payment Pending,payment pending,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
payment-processing,Payment Processing,payment processing,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
payout-schedule,Payout Schedule,payout schedule,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
proceed-to-checkout,Proceed to Checkout,proceed to checkout,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
real-time-notifications,Real-Time Notifications,real-time notifications,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
refund-issued,Refund Issued,refund issued,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
saved-payment-methods,Saved Payment Methods,saved payment methods,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
secure-checkout,Secure Checkout,secure checkout,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
selling-activity-notifications,Selling Activity Notifications,selling activity notifications,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
send-refund,Send Refund,send refund,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
winning-notice,Winning Notice,winning notice,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
seller-transaction-report,Seller Transaction Report,seller transaction report,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
auto-pay,Auto Pay,auto pay,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
selling-preferences,Selling Preferences,selling preferences,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
tax-documents,Tax Documents,tax documents,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
instant-payout,Instant Payout,instant payout,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
promotional-credit,Promotional Credit,promotional credit,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
sales-tax-vat-collection,Sales Tax / VAT Collection,sales tax / vat collection,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
weekly-payout,Weekly Payout,weekly payout,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
multi-currency-payout,Multi-Currency Payout,multi-currency payout,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
afterpay,Afterpay,afterpay,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
immediate-payment-required,Immediate Payment Required,immediate payment required,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
immediate-payment-requirement,Immediate Payment Requirement,immediate payment requirement,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
paypal-credit-6-month,PayPal Credit 6 Month Financing,paypal credit 6 month financing,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
vat-invoice-automation,VAT Invoice Automation,vat invoice automation,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
apple-pay,Apple Pay,apple pay,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
google-pay,Google Pay,google pay,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
klarna,Klarna,klarna,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
payments,Payments,payments,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
payments-checkout,Payments & Checkout,payments & checkout,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
venmo,Venmo,venmo,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
buying-restrictions,Buying Restrictions,buying restrictions,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Account action mechanism enforcing marketplace integrity  platform-level enforcement. Platform trust per slide 4.,4,,keep
linked-accounts-policy,Linked Accounts Policy,linked accounts policy,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Platform-level policy governing marketplace behavior  an integrity measure that applies across all transactions. Platform trust per slide 4.,4,,keep
payment-holds,Payment Holds,payment holds,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Marketplace-wide buyer protection/assurance mechanism backed by eBay  covers the transaction regardless of which seller or item. Platform trust per slide 4.,4,,keep
report-buyer,Report Buyer,report buyer,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Marketplace-wide integrity or assurance mechanism. Platform trust per slide 4.,4,,keep
verify-account,Verify Account,verify account,platform_trust,platform_trust,correct,Current bucket appears correct per deck definitions.,No change needed; current classification aligns with deck framework.,Marketplace-wide integrity or assurance mechanism. Platform trust per slide 4.,4,,keep
depop-payments,Depop Payments,depop payments,not_trust_related,not_trust_related,correct,Current bucket appears correct per deck definitions.,Correctly classified as not trust-related per deck definitions.,"Not a buyer-facing trust signal; does not attach authenticity, accuracy, or assurance to an item, seller account, or marketplace-wide promise.",4,,keep
